# Positions
$ 10^{-2} $ & $ 10^2 $ & $ 0.43183021306474 $ & $ 0.37792739407834 $ \\
$ 10^{-3} $ & $ 10^3 $ & $ 0.43185771820089 $ & $ 0.37795791329455 $ \\
$ 10^{-4} $ & $ 10^4 $ & $ 0.43185799317911 $ & $ 0.37795821840542 $ \\
$ 10^{-5} $ & $ 10^5 $ & $ 0.43185799592892 $ & $ 0.37795822145653 $ \\

# Velocities
$ 10^{-2} $ & $ 10^2 $ & $ -1.31725690371841 $ & $ 0.00490676926467 $ \\
$ 10^{-3} $ & $ 10^3 $ & $ -1.31717284485879 $ & $ 0.00500989953463 $ \\
$ 10^{-4} $ & $ 10^4 $ & $ -1.31717200463103 $ & $ 0.00501093060002 $ \\
$ 10^{-5} $ & $ 10^5 $ & $ -1.31717199622875 $ & $ 0.00501094091069 $ \\

# Total energy
$ 10^{-2} $ & $ 10^2 $ & $ -0.87501380564193 $ & $ 0.00001380564193 $ \\
$ 10^{-3} $ & $ 10^3 $ & $ -0.87500013820196 $ & $ 0.00000013820196 $ \\
$ 10^{-4} $ & $ 10^4 $ & $ -0.87500000138204 $ & $ 0.00000000138204 $ \\
$ 10^{-5} $ & $ 10^5 $ & $ -0.87500000001379 $ & $ 0.00000000001379 $ \\

# Positions
$ 10^{-2} $ & $ 271 $ & $ 0.99976545402991 $ & $ 0.02129345379505 $ \\
$ 10^{-3} $ & $ 2714 $ & $ 0.99999997984323 $ & $ 0.00018659034296 $ \\
$ 10^{-4} $ & $ 27141 $ & $ 0.99999999979480 $ & $ 0.00001179946014 $ \\
$ 10^{-5} $ & $ 271408 $ & $ 0.99999999999958 $ & $ -0.00000044784143 $ \\

# Velocities
$ 10^{-2} $ & $ 271 $ & $ -0.00722430307118 $ & $ 0.49996343375195 $ \\
$ 10^{-3} $ & $ 2714 $ & $ -0.00002908309959 $ & $ 0.50000000465176 $ \\
$ 10^{-4} $ & $ 27141 $ & $ -0.00002015886708 $ & $ 0.49999999986473 $ \\
$ 10^{-5} $ & $ 271408 $ & $ 0.00000093008337 $ & $ 0.49999999999980 $ \\

# Total energy
$ 10^{-2} $ & $ 271 $ & $ -0.87500000014653 $ & $ 0.00000000014653 $ \\
$ 10^{-3} $ & $ 2714 $ & $ -0.87500000000000 $ & $ 0.00000000000000 $ \\
$ 10^{-4} $ & $ 27141 $ & $ -0.87500000000003 $ & $ 0.00000000000003 $ \\
$ 10^{-5} $ & $ 271408 $ & $ -0.87499999999999 $ & $ 0.00000000000001 $ \\

